,F50FHur,F55FHur,F60FHur,FShortHur,FLongHur,FSteeple.,F1500mWalk,FMileWalk,F3kmWalk,F5kmWalk,F8kmWalk,F10kmWalk,F15kmWalk,F20kmWalk,FH.Mar.Walk,F25kmWalk,F30kmWalk,F40kmWalk,FMar.Walk,F50kmWalk,FHighJump,FPoleVault,FLongJump,FTripleJump,FHammer,FShotput,FDiscus,FJavelin,FWeight,F50m,F55m,F60m,F100m,F200m,F300m,F400m,F500m,F600m,F800m,F1000m,F1500m,Fmile,F2km,F3km,F2Mile,F4km,F3Mile,F5km,F6km,F4Mile,F8km,F5Mile,F10km
Event,50Hur,55Hur,60Hur,ShortHur,LongHur,Steeple,1500mWalk,1MileWalk,3kmWalk,5kmWalk,8kmWalk,10kmWalk,15kmWalk,20kmWalk,H.Mar.Walk,25kmWalk,30kmWalk,40kmWalk,Mar.Walk,50kmWalk,HighJump,PoleVault,LongJump,TripleJump,Hammer,Shotput,Discus,Javelin,Weight,50m,55m,60m,100m,200m,300m,400m,500m,600m,800m,1000m,1500m,1Mile,2km,3km,2Mile,4km,3Mile,5km,6km,4Mile,8km,5Mile,10km
62,0.7466,0.7466,0.7466,0.9126,1.0599,1.0599,0.794,0.7935,0.7881,0.7818,0.7747,0.7708,0.763,0.7569,0.7557,0.7518,0.7474,0.74,0.7386,0.734,1.4718,1.8327,1.507,1.5485,1.5959,1.7515,1.6649,1.8241,1.3326,0.7693,0.7693,0.7693,0.7604,0.7396,0.7365,0.7333,0.7368,0.7403,0.7473,0.7373,0.7122,0.7132,0.7163,0.7222,0.7232,0.7266,0.7295,0.73,0.7322,0.7331,0.7359,0.736,0.739
63,0.7373,0.7373,0.7373,0.8939,1.0435,1.0435,0.7855,0.785,0.779,0.7723,0.7647,0.7607,0.7525,0.7461,0.7449,0.7408,0.7363,0.7287,0.7272,0.7225,1.4929,1.8796,1.5347,1.5752,1.6334,1.7903,1.7036,1.8661,1.3634,0.7622,0.7622,0.7622,0.7535,0.7324,0.7297,0.727,0.7284,0.7297,0.7324,0.7236,0.7015,0.7025,0.7056,0.7114,0.7123,0.7156,0.7185,0.719,0.7211,0.7219,0.7245,0.7246,0.7275
64,0.7282,0.7282,0.7282,0.8753,1.0277,1.0277,0.7769,0.7763,0.7697,0.7626,0.7546,0.7504,0.7419,0.7353,0.734,0.7298,0.7251,0.7173,0.7157,0.7108,1.5255,1.9288,1.5602,1.6012,1.6728,1.8309,1.7447,1.91,1.3964,0.7552,0.7552,0.7552,0.7465,0.7252,0.7229,0.7206,0.7199,0.7191,0.7176,0.7099,0.6908,0.6918,0.6948,0.7005,0.7014,0.7047,0.7075,0.708,0.7099,0.7107,0.7132,0.7133,0.716
65,0.7187,0.7187,0.7187,0.8568,1.0124,1.0123,0.7682,0.7675,0.7604,0.7528,0.7445,0.74,0.7312,0.7243,0.723,0.7186,0.7138,0.7057,0.7041,0.6991,1.5466,1.9808,1.5883,1.6299,1.7141,1.8744,1.7874,1.9559,1.4307,0.7482,0.7482,0.7482,0.7395,0.718,0.7162,0.7143,0.7114,0.7086,0.7028,0.6963,0.6801,0.6811,0.684,0.6896,0.6906,0.6937,0.6965,0.697,0.6988,0.6995,0.7019,0.7019,0.7045
66,0.7101,0.7101,0.7101,0.8334,0.9956,0.9956,0.7593,0.7586,0.7509,0.7429,0.7341,0.7295,0.7203,0.7132,0.7118,0.7073,0.7023,0.694,0.6924,0.6871,1.5714,2.0356,1.6172,1.6595,1.7576,1.9194,1.8325,2.0038,1.4667,0.7418,0.7418,0.7418,0.7331,0.7114,0.7076,0.7037,0.7001,0.6965,0.6893,0.6836,0.6695,0.6704,0.6733,0.6787,0.6797,0.6827,0.6854,0.6859,0.6876,0.6883,0.6905,0.6906,0.693
67,0.701,0.701,0.701,0.8102,0.9794,0.9794,0.7503,0.7495,0.7414,0.7329,0.7237,0.7189,0.7093,0.702,0.7005,0.6959,0.6907,0.6821,0.6805,0.6751,1.5954,2.0935,1.6455,1.6885,1.8033,1.9661,1.8796,2.0546,1.5051,0.7354,0.7354,0.7354,0.7267,0.7049,0.699,0.693,0.6887,0.6845,0.6759,0.671,0.6588,0.6597,0.6625,0.6678,0.6688,0.6718,0.6744,0.6749,0.6765,0.6771,0.6792,0.6792,0.6815
68,0.6928,0.6928,0.6928,0.7867,0.9637,0.9637,0.7412,0.7404,0.7316,0.7227,0.7131,0.7081,0.6982,0.6906,0.6891,0.6843,0.679,0.6702,0.6685,0.663,1.6202,2.1548,1.6786,1.7203,1.8514,2.0151,1.9296,2.108,1.5445,0.7289,0.7289,0.7289,0.7204,0.6983,0.6904,0.6824,0.6774,0.6724,0.6624,0.6583,0.6481,0.649,0.6518,0.657,0.6579,0.6608,0.6634,0.6639,0.6653,0.6659,0.6678,0.6679,0.67
69,0.6842,0.6842,0.6842,0.7636,0.9485,0.9485,0.732,0.7311,0.7218,0.7125,0.7025,0.6972,0.687,0.6791,0.6776,0.6727,0.6672,0.6581,0.6563,0.6507,1.6587,2.2198,1.7091,1.7514,1.9022,2.0686,1.9824,2.1642,1.5871,0.7225,0.7225,0.7225,0.714,0.6918,0.6818,0.6717,0.666,0.6604,0.649,0.6457,0.6374,0.6383,0.641,0.6461,0.647,0.6499,0.6524,0.6529,0.6542,0.6547,0.6565,0.6565,0.6585
70,0.6763,0.6763,0.6763,0.74,0.9338,0.9338,0.7226,0.7216,0.7118,0.702,0.6916,0.6862,0.6756,0.6675,0.6659,0.6609,0.6552,0.6459,0.6441,0.6383,1.6829,2.2889,1.742,1.7857,1.9557,2.1227,2.0379,2.2231,1.6312,0.7161,0.7161,0.7161,0.7076,0.6852,0.6732,0.6611,0.6547,0.6483,0.6355,0.633,0.6267,0.6276,0.6302,0.6352,0.6361,0.6389,0.6414,0.6419,0.643,0.6435,0.6451,0.6452,0.647
71,0.6652,0.6652,0.6652,0.7221,0.9133,0.9133,0.7131,0.7121,0.7018,0.6915,0.6807,0.6751,0.6642,0.6558,0.6542,0.6489,0.6431,0.6336,0.6317,0.6258,1.7131,2.3624,1.7778,1.8192,2.0125,2.1802,2.0966,2.2855,1.6785,0.7072,0.7072,0.7072,0.6983,0.6792,0.6628,0.6464,0.6399,0.6335,0.6205,0.6192,0.6161,0.6169,0.6195,0.6243,0.6252,0.628,0.6304,0.6308,0.6319,0.6323,0.6338,0.6338,0.6355
